run,layer,batch_start,buckets,num_samples,native_seq_len,byte_prefix_len,key_rms_ratio,value_rms_ratio,key_mean_cosine,value_mean_cosine
qwen05_kv_p32_all,23,16,clean_english,4,28,32,1.2633363008499146,1.8524060249328613,0.16796453297138214,-0.024099893867969513
qwen05_kv_p32_all,0,20,clean_english,4,28,32,0.028103895485401154,33.90962600708008,-0.11762424558401108,-0.22945894300937653
qwen05_kv_p32_all,1,20,clean_english,4,28,32,0.07160516828298569,5.075441837310791,-0.23061713576316833,-0.04179062321782112
qwen05_kv_p32_all,2,20,clean_english,4,28,32,0.1252860724925995,5.791792869567871,0.039644647389650345,0.018506687134504318
qwen05_kv_p32_all,3,20,clean_english,4,28,32,0.4844399392604828,2.7943410873413086,-0.08262015879154205,-0.061322953552007675
qwen05_kv_p32_all,4,20,clean_english,4,28,32,0.5922067165374756,2.5137691497802734,0.05769741162657738,0.006740899756550789
qwen05_kv_p32_all,5,20,clean_english,4,28,32,1.0106266736984253,2.00981068611145,-0.07498463988304138,-0.1214318498969078
qwen05_kv_p32_all,6,20,clean_english,4,28,32,1.0798941850662231,2.989137887954712,0.07928042858839035,-0.15860816836357117
qwen05_kv_p32_all,7,20,clean_english,4,28,32,0.8189954161643982,2.0076258182525635,0.07865741848945618,-0.15225885808467865
qwen05_kv_p32_all,8,20,clean_english,4,28,32,0.058771003037691116,3.4708151817321777,0.2844742238521576,-0.28367292881011963
qwen05_kv_p32_all,9,20,clean_english,4,28,32,0.7212998270988464,1.5358015298843384,-0.05790645629167557,-0.22321920096874237
qwen05_kv_p32_all,10,20,clean_english,4,28,32,0.7762269377708435,1.8841700553894043,0.016085771843791008,-0.13031403720378876
qwen05_kv_p32_all,11,20,clean_english,4,28,32,0.740315318107605,1.3421154022216797,-0.017464812844991684,-0.1189635768532753
qwen05_kv_p32_all,12,20,clean_english,4,28,32,0.8885226249694824,2.1902718544006348,0.007140795700252056,0.10302720218896866
qwen05_kv_p32_all,13,20,clean_english,4,28,32,0.8547481894493103,2.177727222442627,0.010790341533720493,-0.14186538755893707
qwen05_kv_p32_all,14,20,clean_english,4,28,32,0.8623232841491699,1.8888018131256104,-0.03167524188756943,0.11088310927152634
