run,bucket,baseline_loss,bytebridge_loss,loss_delta_bytebridge_minus_baseline,relative_robustness_gain_vs_baseline,baseline_degradation_ratio,bytebridge_degradation_ratio,clean_retention,count
bb_distill_then_lm_l64,multilingual_ja,0.5564543843269348,4.97221332192421,4.415758937597275,-7.935527263278556,1.8013978946281786,7.0100183808756755,2.2962051060202713,80
bb_distill_then_lm_l64,multilingual_ko,0.37660561315715313,4.270398366451263,3.89379275329411,-10.339178751616949,1.2191773086073097,6.020572550756928,2.2962051060202713,80
bb_distill_then_lm_l64,multilingual_latin,0.41324442997574806,7.359610629081726,6.946366199105978,-16.809340175531556,1.3377873678280967,10.375863311911477,2.2962051060202713,80
bb_distill_then_lm_l64,multilingual_ru,0.3207838121801615,5.600838935375213,5.280055123195051,-16.459855275457663,1.03846658444627,7.896279049851847,2.2962051060202713,80
bb_distill_then_lm_l64,multilingual_zh,0.6084793820977211,4.605497723817825,3.997018341720104,-6.5688640557391755,1.969817308855074,6.49300856716866,2.2962051060202713,80
bb_distill_then_lm_l64,tokenizer_stress,0.48062532022595406,3.5280297378698986,3.0474044176439445,-6.340499115217823,1.5559180848350436,4.973952586003098,2.2962051060202713,120
bb_distill_then_lm_l64,typo_noise_heavy,2.8353178641200065,0.990453223939985,-1.8448646401800215,0.6506729504744998,9.178713969888685,1.3963792089535572,2.2962051060202713,200
bb_distill_then_lm_l64,typo_noise_light,1.3838238319009541,0.8225486077368259,-0.5612752241641282,0.4055973103116069,4.4798233377887575,1.1596607961235692,2.2962051060202713,200
bb_distill_then_lm_l64,typo_noise_medium,1.842755225598812,0.8496367090381682,-0.9931185165606438,0.5389313256392613,5.965512137574318,1.197850647550126,2.2962051060202713,200
bb_distill_then_lm_l64,unicode_stress,0.5613888148218393,3.9175496473908424,3.356160832569003,-5.978317957108041,1.8173720210886282,5.523112798703335,2.2962051060202713,128
